74.207.246.143 - - [19/Jul/2014:01:27:45 +0100] "GET / HTTP/1.0" 200 11197
82.8.212.105 - - [19/Jul/2014:10:11:23 +0100] "GET /solr/ HTTP/1.1" 200 5809
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/analysis.css?_=4.5.1 HTTP/1.1" 200 6070
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/cloud.css?_=4.5.1 HTTP/1.1" 200 6746
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/cores.css?_=4.5.1 HTTP/1.1" 200 4431
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/dashboard.css?_=4.5.1 HTTP/1.1" 200 3455
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/dataimport.css?_=4.5.1 HTTP/1.1" 200 7504
82.8.212.105 - - [19/Jul/2014:10:11:33 +0100] "GET /solr/css/styles/common.css?_=4.5.1 HTTP/1.1" 200 13429
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/index.css?_=4.5.1 HTTP/1.1" 200 4627
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/java-properties.css?_=4.5.1 HTTP/1.1" 200 1185
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/logging.css?_=4.5.1 HTTP/1.1" 200 7751
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/menu.css?_=4.5.1 HTTP/1.1" 200 6286
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/plugins.css?_=4.5.1 HTTP/1.1" 200 4087
82.8.212.105 - - [19/Jul/2014:10:11:35 +0100] "GET /solr/css/styles/documents.css?_=4.5.1 HTTP/1.1" 200 3581
82.8.212.105 - - [19/Jul/2014:10:11:40 +0100] "GET /solr/css/styles/replication.css?_=4.5.1 HTTP/1.1" 200 9733
82.8.212.105 - - [19/Jul/2014:10:11:40 +0100] "GET /solr/css/styles/query.css?_=4.5.1 HTTP/1.1" 200 2960
82.8.212.105 - - [19/Jul/2014:10:11:40 +0100] "GET /solr/css/styles/schema-browser.css?_=4.5.1 HTTP/1.1" 200 12272
82.8.212.105 - - [19/Jul/2014:10:11:40 +0100] "GET /solr/css/styles/threads.css?_=4.5.1 HTTP/1.1" 200 3665
82.8.212.105 - - [19/Jul/2014:10:11:40 +0100] "GET /solr/css/chosen.css?_=4.5.1 HTTP/1.1" 200 15200
82.8.212.105 - - [19/Jul/2014:10:11:41 +0100] "GET /solr/js/require.js?_=4.5.1 HTTP/1.1" 200 334540
82.8.212.105 - - [19/Jul/2014:10:11:52 +0100] "GET /solr/js/main.js?_=4.5.1 HTTP/1.1" 200 1856
82.8.212.105 - - [19/Jul/2014:10:11:52 +0100] "GET /solr/img/solr.png HTTP/1.1" 200 7926
