72.18.148.138 - - [21/Jul/2014:09:54:57 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:54:58 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:54:59 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:00 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:02 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:03 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:04 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:05 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:07 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:08 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:09 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:10 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:12 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:13 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:14 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:15 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:17 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:18 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:19 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:20 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:22 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:23 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:24 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:25 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:27 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:28 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:29 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:30 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:32 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - - [21/Jul/2014:09:55:33 +0100] "GET /manager/html HTTP/1.1" 401 2486
72.18.148.138 - both [21/Jul/2014:09:55:36 +0100] "GET /manager/html HTTP/1.1" 403 3208
121.229.221.243 - - [21/Jul/2014:10:34:06 +0100] "GET /render/hoteldiv.jsp?&__jscallback=XQScript_4 HTTP/1.1" 404 989
91.188.124.225 - - [21/Jul/2014:11:15:30 +0100] "GET /httptest.php HTTP/1.1" 404 975
91.188.124.225 - - [21/Jul/2014:11:15:31 +0100] "GET /search?q=polska+najlepsza HTTP/1.1" 404 963
62.210.125.71 - - [21/Jul/2014:11:28:55 +0100] "GET / HTTP/1.0" 200 11197
91.188.124.225 - - [21/Jul/2014:13:22:30 +0100] "GET /search?q=praca HTTP/1.1" 404 963
91.188.124.225 - - [21/Jul/2014:13:22:41 +0100] "GET /httptest.php HTTP/1.1" 404 975
171.111.153.168 - - [21/Jul/2014:14:03:40 +0100] "GET / HTTP/1.1" 200 11217
91.188.124.225 - - [21/Jul/2014:15:24:28 +0100] "GET /httptest.php HTTP/1.1" 404 975
91.188.124.225 - - [21/Jul/2014:15:24:41 +0100] "GET /search?q=wczasy HTTP/1.1" 404 963
91.188.124.225 - - [21/Jul/2014:17:25:41 +0100] "GET /httptest.php HTTP/1.1" 404 975
91.188.124.225 - - [21/Jul/2014:17:25:42 +0100] "GET /search?q=wczasy HTTP/1.1" 404 963
171.111.153.168 - - [21/Jul/2014:18:16:43 +0100] "GET / HTTP/1.1" 200 11217
50.116.15.188 - - [21/Jul/2014:18:24:05 +0100] "GET / HTTP/1.0" 200 11197
87.106.83.18 - - [21/Jul/2014:18:45:31 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true HTTP/1.1" 200 52202
87.106.83.18 - - [21/Jul/2014:19:01:10 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=true HTTP/1.1" 200 1485
87.106.83.18 - - [21/Jul/2014:19:01:18 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true HTTP/1.1" 200 52202
87.106.83.18 - - [21/Jul/2014:19:01:27 +0100] "GET /solr/collection1/select?wt=ruby&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F&qt=document HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:19:01:27 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
87.106.83.18 - - [21/Jul/2014:19:03:27 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true HTTP/1.1" 200 52202
